Feature_Extractor,Distance,k,brand_only,MAP
Histogram_Color,Euclidienne,50,False,0.034133772535721245
Histogram_Color,Euclidienne,50,True,0.14201944218436863
Histogram_Color,Euclidienne,100,False,0.02706650077944858
Histogram_Color,Euclidienne,100,True,0.13593523467444754
Histogram_HSV,Euclidienne,50,False,0.02881179705165004
Histogram_HSV,Euclidienne,50,True,0.12541712196157942
Histogram_HSV,Euclidienne,100,False,0.02379137112371187
Histogram_HSV,Euclidienne,100,True,0.12035799750120563
SIFT,Flann,50,False,0.04896202388764247
SIFT,Flann,50,True,0.1629331469815661
SIFT,Flann,100,False,0.04207651844699005
SIFT,Flann,100,True,0.16348860811092117
ORB,Flann,50,False,0.11896388928383468
ORB,Flann,50,True,0.24822609032374288
ORB,Flann,100,False,0.085802794487737
ORB,Flann,100,True,0.21309514650901934
LBP,Euclidienne,50,False,0.016191970858446914
LBP,Euclidienne,50,True,0.07889624526593206
LBP,Euclidienne,100,False,0.014634618647581359
LBP,Euclidienne,100,True,0.08100426064259232
GLCM,Euclidienne,50,False,0.0112259777489043
GLCM,Euclidienne,50,True,0.11029462582491482
GLCM,Euclidienne,100,False,0.00881792712078026
GLCM,Euclidienne,100,True,0.10154189209913579
HOG,Euclidienne,50,False,0.036846984642335746
HOG,Euclidienne,50,True,0.1462047357887261
HOG,Euclidienne,100,False,0.028182727142897664
HOG,Euclidienne,100,True,0.13840087367810266
ResNet34_ImageNet,Euclidienne,50,False,0.0035358927083973648
ResNet34_ImageNet,Euclidienne,50,True,0.07631970588911813
ResNet34_ImageNet,Euclidienne,100,False,0.004272661485361502
ResNet34_ImageNet,Euclidienne,100,True,0.07983800623870613
ResNet34_2_steps_data_augmentation,Euclidienne,50,False,0.8023439052698923
ResNet34_2_steps_data_augmentation,Euclidienne,50,True,0.9493480231100785
ResNet34_2_steps_data_augmentation,Euclidienne,100,False,0.7527462688602802
ResNet34_2_steps_data_augmentation,Euclidienne,100,True,0.9141147430219029
InceptionV4_2_steps_data_augmentation,Euclidienne,50,False,0.8940702224830399
InceptionV4_2_steps_data_augmentation,Euclidienne,50,True,0.9729623019933816
InceptionV4_2_steps_data_augmentation,Euclidienne,100,False,0.8506382075334055
InceptionV4_2_steps_data_augmentation,Euclidienne,100,True,0.9536643064812641
